track_name,artist_name,album_name,release_date,popularity,duration_ms,explicit,album_type,total_tracks,artists_count,release_year,release_month,years_since_release,decade,genres,primary_genre,artist_popularity,artist_followers,duration_minutes,is_single,popularity_category,is_collaboration,bpm,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",57,2024-11-08,80,298130,1,single,1,8,2024,11,1,2020s,"reggaeton,latin,urbano latino",reggaeton,88,55109057,4.97,1,high,1,92,0.221,0.848,7,0.0,0.106,-3.574,0.0981,0.692
111,Yan Block,111,2025-02-20,69,153750,1,single,1,1,2025,2,0,2020s,unknown,unknown,77,495495,2.56,1,medium,0,128,0.501,0.792,5,0.165,0.0951,-10.327,0.196,0.14
30 Grados,"El Turko, Mandale Flow",30 Grados,2024-01-25,60,151441,0,single,1,2,2024,1,1,2020s,"rkt,turreo,guaracha",rkt,59,273628,2.52,1,medium,1,98,0.0182,0.676,6,0.0,0.0756,-3.784,0.333,0.373
444,"Yan Block, Panda Black",444,2024-04-04,74,175280,1,single,1,2,2024,4,1,2020s,unknown,unknown,77,495495,2.92,1,medium,1,119,0.152,0.435,6,1.2e-05,0.142,-8.114,0.0895,0.22
A las Nueve,No Te Va Gustar,El Calor Del Pleno Invierno,2012-10-18,67,207533,0,album,14,1,2012,10,13,2010s,"argentine rock,latin rock,rock en español,latin alternative",argentine rock,69,2472429,3.46,0,medium,0,130,0.236,0.625,8,8.2e-05,0.308,-5.652,0.0268,0.827
Adicto (with Anuel AA & Ozuna),"Tainy, Anuel AA, Ozuna",Adicto (with Anuel AA & Ozuna),2019-08-22,72,270740,0,single,1,3,2019,8,6,2010s,reggaeton,reggaeton,78,2696418,4.51,1,medium,1,80,0.017,0.734,8,1.6e-05,0.179,-4.803,0.0735,0.623
Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcángel",Ahora Dice,2017-03-17,71,270493,0,single,1,4,2017,3,8,2010s,"trap latino,reggaeton,urbano latino",trap latino,68,2714494,4.51,1,medium,1,144,0.255,0.704,7,0.0,0.129,-5.414,0.158,0.427
Ahora Estoy Solo,Lalo Y Los Descalzos,Super Cumbias (Remastered),2019-10-26,52,187000,0,album,23,1,2019,10,6,2010s,"grupera,vallenato,cumbia",grupera,60,140283,3.12,0,medium,0,168,0.107,0.69,5,0.0084,0.0566,-8.725,0.0997,0.964
Alegría,"Tiago PZK, Anitta, Emilia",GOTTI A,2024-07-04,71,165054,0,album,14,3,2024,7,1,2020s,"argentine trap,urbano latino",argentine trap,77,5633575,2.75,0,medium,1,83,0.594,0.883,4,0.0,0.113,-8.464,0.309,0.36
Amanece,"Anuel AA, Haze",Amanece,2018-12-14,76,190004,0,single,1,2,2018,12,7,2010s,"reggaeton,trap latino,urbano latino,latin",reggaeton,87,40802981,3.17,1,high,1,94,0.437,0.79,6,0.0,0.158,-5.549,0.0425,0.889
AMARGURA,KAROL G,MAÑANA SERÁ BONITO,2023-02-24,78,170480,1,album,17,1,2023,2,2,2020s,"reggaeton,latin,urbano latino",reggaeton,88,55109057,2.84,0,high,0,92,0.455,0.777,7,3.5e-05,0.326,-4.569,0.0874,0.245
Amor de Vago,"La T y La M, Malandro",Amor de Vago,2024-08-23,76,188423,0,single,1,2,2024,8,1,2020s,"cumbia,cuarteto,rkt,turreo",cumbia,72,962115,3.14,1,high,1,180,0.706,0.65,5,2e-06,0.0725,-7.27,0.111,0.603
